,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,2,6,4,4,9,2,4,5,1,5,6,5,7,8,7,6,0.0,0.0,640245322.4643734,20557547.225730363,0.004167906290743765,6726321810.007866,16454005628.350069,20557547.225730363,0.004167906290743765
1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,3,4,6,4,9,10,5,4,6,3,7,1,8,3,6,3,5224593.835856485,0.0016635098543537217,912892699.64303,52588010.08063256,0.007854679207119707,1047006884.4929845,34193107698.091824,57812603.91648904,0.009518189061473429
2,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,4,8,1,9,3,4,2,9,2,2,3,1,6,1,9,3,0.0,0.0,1233763646.6783814,306828443.3840563,0.044610834298623836,1844249771.1707644,17213188066.48166,306828443.3840563,0.044610834298623836
3,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,10,5,7,10,6,10,3,4,3,3,1,1,4,0,0,15258448.831242273,0.040553886402859673,454372005.3847718,521032862.65428865,0.47768017773724314,140758998.50395507,76149095895.71759,536291311.4855309,0.5182340641401029
4,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,3,6,0,1,8,9,4,3,3,1,10,9,3,5,6,3,8994207.130804533,0.0028338044713670345,257752762.38795406,77480286.70626868,0.012190685518210571,1553527825.7653985,22064548318.66489,86474493.83707322,0.015024489989577606
5,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,4,1,5,1,3,10,4,6,3,4,5,9,7,8,6,1,5403757.009432725,0.0017674855443033394,876428653.9122791,20180697.40760505,0.0032680645381678217,2389271988.919439,15997993154.528936,25584454.417037774,0.005035550082471162
6,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,8,2,8,9,4,0,5,3,2,8,7,8,8,2,9,0.0,0.0,478895492.6361647,1179722.0639347765,0.0005678051048434855,6952745170.0446615,27323055923.67772,1179722.0639347765,0.0005678051048434855
7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,5,9,3,8,8,6,9,1,0,7,6,6,8,3,0,0.0,0.0,883199317.3813787,67601223.2078416,0.012027810748866207,1094473611.4601974,28323128221.342445,67601223.2078416,0.012027810748866207
8,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,4,1,0,0,10,9,8,8,9,6,9,1,0,6,0,0,0.0,0.0,7387234564.954447,108304208.06634715,0.012237753183096788,328184814.6092675,60019576749.633156,108304208.06634715,0.012237753183096788
9,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,2,6,0,2,1,7,7,3,4,4,5,8,7,6,2,0.0,0.0,1107459033.761897,13197187.975971926,0.006345080577093087,2076498349.6331832,7945895219.123308,13197187.975971926,0.006345080577093087
