,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR Total Costs,Total_Expected_Annual_Damage,Total_Dike_Investment_Costs,Total_Expected_Number_of_Deaths
541,32,81.67852489957696,1.5,0.0057369841010763,285.18086016403026,10.0,0.2418575009161383,33.48030238886585,1.0,0.0319202883909449,120.78572943796566,1.0,0.8865644739292317,228.248614325144,1.0,0.3966426406894771,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,Policy 1,dikesnet,3506318404.3927155,0,1.724861696502677,155703636.063637,0,0.1045170777661465,2369402174.8351984,0,2.8958494059806386,0.0,0,0.0,0.0,0,0.0,0.0,6031424215.291551,0,4.725228180249462
712,40,314.39163899994264,10.0,0.2890708012444987,345.6909775701973,10.0,0.0315467171927701,229.4178877465289,10.0,0.0702120519707334,302.01609863974846,10.0,0.4630049432156598,73.08439264450853,1.5,0.6649804377049979,1.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712,Policy 1,dikesnet,2793435980.246437,0,1.729225734212196,849863652.074432,0,0.6414261534168104,1533068547.7301018,0,2.318387888466813,0.0,0,0.0,0.0,0,0.0,0.0,5176368180.050971,0,4.68903977609582
136,7,319.8757057365968,1.5,0.3259165273455871,308.5577069771603,1.0,0.9505473795252042,325.8223797417694,10.0,0.0491694324764387,233.3302956148873,1.5,0.5637851201273741,114.86895926011356,10.0,0.085912200752098,2.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,Policy 1,dikesnet,2997263421.041624,0,1.743958804019658,0.0,0,0.0,1971032899.386406,0,2.813443486616285,0.0,0,0.0,0.0,0,0.0,0.0,4968296320.42803,0,4.557402290635944
706,99,220.72090737400688,1.0,0.2374745352545375,257.0332920874393,1.5,0.6626882499711926,214.15505727099557,1.0,0.0062546774126491,245.78458014483084,1.0,0.9990375132251116,196.39017642593188,1.0,0.2430600945682011,2.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706,Policy 1,dikesnet,2996328687.2404723,0,1.7432777462918545,0.0,0,0.0,1953874481.6053212,0,2.7748747185494347,0.0,0,0.0,0.0,0,0.0,0.0,4950203168.845794,0,4.518152464841289
121,57,64.97473073173546,1.0,0.3358120838615205,302.0702834966531,1.5,0.0854787910227358,187.07070265208205,1.0,0.147424063272824,97.7438537773642,1.5,0.476473092867008,289.487781113482,10.0,0.49476146105842,4.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,Policy 1,dikesnet,2244451845.1902657,0,1.460746789252537,744473103.5496432,0,0.6197007784678216,1794443264.3585634,0,2.890729418121592,0.0,0,0.0,0.0,0,0.0,0.0,4783368213.098473,0,4.97117698584195
36,113,115.3332452706997,10.0,0.3468301196361659,118.38430986446195,1.5,0.2639813816018636,257.6258024584736,1.5,0.0407550293471058,142.52104466978017,10.0,0.3087608077199543,269.52362357881543,1.5,0.5408934561017472,3.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,Policy 1,dikesnet,2583052669.129035,0,1.4632030012364383,44831868.30705515,0,0.0346458433952553,2077280471.582277,0,2.9232896120582783,0.0,0,0.0,0.0,0,0.0,0.0,4705165009.018367,0,4.421138456689972
511,83,86.27203984484292,1.5,0.3092091883903608,327.86257044829847,10.0,0.7087476525133148,158.78216771116757,1.0,0.0480753623202857,186.29055265458936,10.0,0.7268880879777504,315.3537614138037,10.0,0.3682898328504443,2.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,Policy 1,dikesnet,2675659981.25732,0,1.73883939149946,0.0,0,0.0,1808299278.227772,0,2.925857380521491,0.0,0,0.0,0.0,0,0.0,0.0,4483959259.485092,0,4.664696772020951
989,92,53.28342354614149,1.5,0.1371540707797636,244.5685318745623,1.5,0.3357234975239462,92.87257713578312,10.0,0.1684684748147427,123.20316773936771,1.0,0.8757825343391064,189.3944169386771,1.0,0.0166833737950656,1.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,Policy 1,dikesnet,2882414809.472525,0,1.6925429637802871,73976748.51016897,0,0.0609138356593557,1018306215.5389144,0,1.5360835748842718,0.0,0,0.0,469232883.2164663,0,0.3377795384006131,0.0,4443930656.738074,0,3.627319912724528
601,54,39.35097232601938,1.0,0.0890569734966626,240.23292881234485,1.0,0.7616850689716992,135.07750817458754,10.0,0.0870629257822834,176.47031400172085,1.0,0.6819507611005312,167.63844847160482,10.0,0.8319879521237428,1.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601,Policy 1,dikesnet,2573886362.2485547,0,1.6993651040731428,9041299.194814552,0,0.0087875203149717,1802160830.645938,0,3.0048731733577965,0.0,0,0.0,0.0,0,0.0,0.0,4385088492.089308,0,4.713025797745911
512,83,254.2283106199971,1.0,0.1283825195595732,58.09669697461089,1.5,0.1101135147326923,320.9625106835068,1.5,0.0163511494511903,81.3543036947701,1.0,0.2734139405022957,174.27128542229997,1.0,0.4167640255502387,4.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,Policy 1,dikesnet,2675659981.25732,0,1.73883939149946,16478403.346741302,0,0.0137248380787632,1666034749.1173203,0,2.637907799866148,0.0,0,0.0,0.0,0,0.0,0.0,4358173133.721381,0,4.390472029444371
