,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,7,2,0,1,5,7,7,3,2,7,1,9,0,0,0,0.0,0.0,797855670.1377058,0.0,0.0,0.0,7829577563.858084,0.0,0.0
1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,3,7,0,3,6,6,1,0,0,1,7,7,4,2,0,0,47948986.38723043,0.008724954683007938,28798397.130608946,0.0,0.0,58176627.77592012,6098109773.651999,47948986.38723043,0.008724954683007938
2,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,2,1,5,6,7,3,2,7,1,8,0,0,0,0.0,0.0,797855670.1377058,32810052.859899245,0.010140421420183537,0.0,5033692606.880259,32810052.859899245,0.010140421420183537
3,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,1,2,4,0,0,0,6,6,6,0,0,0,2229087758.204836,1.236844312860915,0.0,0.0,0.0,0.0,2815463481.762493,2229087758.204836,1.236844312860915
4,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,2,2,4,1,2,1,1,5,1,2,0,8131901.766988819,0.00630752826447762,260726816.1901064,0.0,0.0,105495938.72046074,984565825.4512553,8131901.766988819,0.00630752826447762
5,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3,7,3,7,3,1,7,0,2,0,3,7,3,1,0,3,11177892.065942926,0.002625259168509609,44215020.369581826,0.0,0.0,144322995.51960927,10092001317.375568,11177892.065942926,0.002625259168509609
6,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,3,0,3,2,0,5,0,0,2,2,0,2,4,1,0,6,16637061.77190751,0.003771295388211283,106086823.8555479,0.0,0.0,424898508.10026157,1359422220.3508823,16637061.77190751,0.003771295388211283
7,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,3,1,1,3,0,7,2,3,0,0,0,2,6,2,3,0,1522116.1641911385,0.0002946941883680974,67352034.08702596,0.0,0.0,185515400.32607946,2126417452.8410356,1522116.1641911385,0.0002946941883680974
8,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,7,0,6,6,6,0,0,0,0,5,4,4,2,1,6,80211983.39796472,0.12202968986078257,0.0,0.0,0.0,652753691.7445592,6712396384.284773,80211983.39796472,0.12202968986078257
9,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,0,2,0,2,4,0,5,0,5,4,6,0,0,0,441765593.2110802,0.13044294380715665,153347589.65466607,24360981.963220976,0.0028167837278287606,0.0,1709930034.9993837,466126575.17430115,0.1332597275349854
