,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths,scenario
s248_p195,0.0,0.0,0.0,6358999129956055.0,7.713262982692082e-05,6.055404199622374,81621.0121362426,8510619453616190.0,9.141412604913667e-05,0
s248_p543,14270954060440.662,7.01851142347311e-05,0.0,1.738916027936142e+16,0.014399692202420128,8.31994136301665,94328.87763557023,7.005364518290407e+16,0.04625188371224452,0
s248_p684,6314367200682700.0,0.017932017730841358,1.2593528826005167,383482483521385.06,0.00032370620780063254,0.0,839128.8806497634,8698802948194861.0,0.021510190220369995,0
s248_p693,7433333104024952.0,0.020517337060782546,0.0,12436278716.15885,9.739620496632643e-09,6251.498321365768,7563.008987112261,9.735244720444237e+16,0.07252783506480011,0
s248_p711,1.528529540849326e+16,0.04108461183340049,30.85139834094629,3.3288645904744636e+16,0.027686456949587598,0.0,13079.220275240925,9.81782998210047e+16,0.1185458385776017,0
s248_p719,3.347509892261927e+16,0.001385182192314215,9.140228608528734,1423507014135.733,2.082733767923781e-08,344.6891951743707,1515.1622406646272,1.372351442541171e+17,0.0024365098827364446,0
s541_p1035,74930821156.85692,4.0513988705093723e-07,183913.40594312287,2.367044500367721e+16,0.019628905903978852,1.3003489623051914,363667.4935906717,3.0340418652719292e+16,0.022282354946716675,1
s541_p149,50438638472.785866,3.78855094946596e-09,2990.398315619612,4557351267554671.0,5.304996546497347e-05,554.6331542015544,0.0,4759671786167592.0,5.4294299951504585e-05,1
s541_p213,305849656957.028,1.8748860575701017e-08,382.56137461526447,816299066951.9076,1.0844310294949279e-08,615770.9920323753,807157.1366466774,199766973190231.7,1.9421489651199463e-06,1
s541_p301,4435023098247269.5,0.011944776330601424,39.5003710884625,393633939107.08685,3.0350364174315654e-07,183360.0316177974,319844.38133710105,1.5456540154973406e+16,0.02375296611388273,1
s541_p742,3.671039452115698e+16,0.09962835505032426,0.4683813111810471,553918686698.2306,4.409841609768841e-07,0.0,0.0,1.1161469172220442e+17,0.1757475868308478,1
s632_p1048,1.1852384744850362e+16,0.03099101384563502,1.003623516664296,14925113915.689373,1.0909904026188772e-08,2918.126640237598,97515.28194747942,1.3918645448695198e+16,0.03374686996906667,2
s632_p208,14196625187119.783,5.853093809638517e-05,70.33050378737859,0.0,0.0,0.0,38023.484804469175,66558399396548.555,0.00011332210905862045,2
s632_p22,266327701.35458076,1.7244338174413792e-10,406.74075906518334,7380557684.296767,7.226390679065966e-10,1501.0511423366306,32207.94701953973,967958075184245.0,9.826998847803939e-05,2
s632_p803,2.752956366908399e+16,0.001153434710942302,0.0,17851441411087.97,2.2212321370213622e-07,43949.859517052726,1563144.688206571,5.3729867896670856e+16,0.0014210235265857444,2
s632_p977,2.138596960548034e+16,0.0622896723952238,832.6695861434763,3.5623927514496412e+16,0.029405129745554252,0.27326252937536305,224807.76756351293,1.0002980032708266e+17,0.14889594985385682,2
s982_p346,0.0,0.0,0.0,0.0,0.0,16285.231237528355,0.0,8.398459563737386e+17,0.005650710256589882,3
s982_p510,0.0,0.0,91758.72324168478,3.2263154809437576e+16,0.027087266942913198,0.0,141685.2305157497,3.253760250065121e+16,0.027266303401250386,3
s982_p738,373449415388.7539,1.6264390697354516e-06,14840.299176468023,6.1507037999460456e+16,0.05025166972707195,0.0,52292.62750807101,8.173709293837768e+16,0.0599507591790747,3
s982_p889,872730753119.6174,3.0889041433227006e-06,72.14382730538911,3743792401269.672,3.4465980605016683e-06,130.54997397626676,0.0,7166833454750.312,9.944760291631815e-06,3
