0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths,Policy Name,Urban Damages Ratio,Urban Deaths Ratio,Urban Damages Ratio Exceeded,Urban Deaths Ratio Exceeded
1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,2,9,4,7,5,3,4,5,6,1,4,5,3,1,0,1,31121084.115179148,0.0080641399610471,867976124.6337643,130198432.1689088,0.0140153165848185,80062858.44864091,15962497324.25384,166792738.27594328,0.0228423628570914,s4842_p206,0.9671854899174304,0.9666012524186413,False,False
0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,4,6,3,2,2,4,6,3,7,1,1,1,1,2,2238558.8320009774,0.0036893585988396,912892699.64303,53969995.297948405,0.0383212892277554,161471684.02738547,3515978686.223462,92497842.64124452,0.0728882492932363,s4842_p168,0.6076742173107306,0.5763706528000446,False,False
0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,4,2,4,4,5,1,7,5,7,6,7,4,5,1,2,1,10160276.503053028,0.0020869596612469,2670151799.853898,22429308.90814797,0.0022485646354858,166207917.18189317,8275183313.756679,34632484.99598339,0.004560532517423,s4842_p63,0.9410120415840988,0.9506618536693506,False,False
0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,2,2,3,3,1,1,4,1,0,3,2,1,1,1,1,4898622.214939761,0.0023086607060662,158308603.12830377,79058982.23545437,0.0211016634104417,131385962.25230522,1303789761.9977486,107582197.71494164,0.0304048640706238,s4842_p185,0.7804042512019961,0.7699532568910973,False,False
1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,3,6,0,1,4,3,6,4,1,0,0,2,5,1,3,0,92946657.52580746,0.0162475629928595,158308603.12830377,122031575.22544596,0.0122759969361446,144322995.51960927,3898887907.13434,226650112.4072135,0.0297956120176694,s4842_p178,0.9485026522511064,0.9573074019116994,False,False
1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,4,0,7,7,2,5,4,5,2,5,10,4,5,4,2,0,0.0,0.0,752824027.8901682,35106261.96808743,0.0029259644233909,254677545.10031864,9111623810.76341,82276991.48803288,0.0077832908021112,s4842_p34,0.4266838314475026,0.3759289608705406,False,False
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,7,3,3,2,7,2,1,1,4,3,4,4,4,7,68537956.35776357,0.0142851623989136,132184573.70860092,0.0,0.0,2318280615.76534,7247245051.413737,82083889.03635193,0.0160794172344032,s4842_p101,0.8349745262119663,0.8884129437445875,False,False
1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,5,3,1,2,7,6,4,3,0,9,6,4,0,1,0,0.0,0.0,233802396.0135758,55539961.06398831,0.0364668183106961,36676675.840294495,7607682381.064509,104012174.5070216,0.0785625095433014,s4842_p203,0.5339755786015121,0.464175833010994,False,False
1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,2,5,5,5,4,9,7,4,4,0,9,5,4,6,3,7,0.0,0.0,301485833.08746815,0.0,0.0,2827353740.402635,21735337843.26704,1989289.082393088,0.000266674340405,s4842_p167,0.0,0.0,False,False
0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,3,5,4,5,4,2,1,10,7,1,10,2,5,3,2,0,0.0,0.0,3448193650.766571,0.0,0.0,187300709.3375383,8901374728.12755,5303061.116239234,0.0005732881933116,s4842_p89,0.0,0.0,False,False
