0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR Total Costs,Total_Expected_Annual_Damage,Total_Dike_Investment_Costs,Total_Expected_Number_of_Deaths,Policy Name,Urban Damages Ratio,Urban Deaths Ratio,Industrialized Farmers Damages Ratio,Industrialized Farmers Deaths Ratio,Urban Damages Ratio Exceeded,Urban Deaths Ratio Exceeded,Industrialized Farmers Damages Ratio Exceeded,Industrialized Farmers Deaths Ratio Exceeded
0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,3,5,5,3,4,10,1,10,3,10,1,1,3,1,4,0,0.0,2259196887.1699886,0.0,0.0,7523486251.358226,0.0,0.0,11336925929.499256,0.0,433010.0821119029,73663888.96697061,4.648882887836079e-05,20560340.0972265,203185648.4487434,0.0034195382273034,479100000.0,20993350.179338403,21396458605.443184,0.0034660270561818,s248_p195,0.9793739408711396,0.9865872862142128,0.9793739408711396,0.9865872862142128,False,False,False,False
0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,7,0,7,10,5,10,4,1,5,0,0,1,1,7,1,0.0,4392510813.013105,0.0,0.0,47723433696.68219,0.0,57269692.71202306,513517895.77334994,0.0763855748555919,0.0,11068771.68625446,0.0,58141056.697985336,764061946.3308975,0.0399417502661954,876000000.0,115410749.4100084,53404593123.4858,0.1163273251217874,s541_p904,1.9850129317310383,2.912424326588428,1.9850129317310383,2.912424326588428,False,False,False,False
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,10,2,5,1,1,8,5,9,0,6,1,0,0,0,0.0,5036182094.123628,0.0,0.0,707852953.7978439,0.0,2444043.4012786853,7780590774.632069,0.0066489159992758,5133589.294796733,183572722.92222565,0.0037736292357252,59112237.77686622,0.0,0.0533124865891681,589200000.0,66689870.47294164,13708198545.475763,0.0637350318241692,s982_p738,0.9581366445712032,1.0503675319646952,0.9581366445712032,1.0503675319646952,False,False,False,False
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,7,10,7,0,0,1,1,7,2,9,0,5,4,3,2,0.0,31044893131.043926,0.0,78005670.88025081,59410102.93073928,0.008441695412639,703934.949547791,603257951.8332427,0.0002272432640611,0.0,1010080797.680159,0.0,0.0,507521827.49405175,0.0,387000000.0,78709605.82979861,33225163810.982124,0.0086689386767001,s248_p505,0.0090241509572865,0.0269191498808247,0.0090241509572865,0.0269191498808247,False,False,False,False
1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,4,4,3,2,4,5,2,7,3,10,9,10,0,4,3,6,0.0,885461270.1403937,0.0,0.0,1508344322.2079554,0.0,0.0,6520070683.279285,0.0,0.0,4545197312.503398,0.0,0.0,1382721694.8802204,0.0,1015900000.0,0.0,14841795283.011251,0.0,s248_p28,,,,,False,False,False,False
0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,6,9,0,10,9,10,7,1,2,5,5,5,6,1,1,0.0,7349215405.534272,0.0,0.0,97998156021.85265,0.0,2403426.1699154526,605186286.8846056,0.0064524840460951,0.0,834307682.3347049,0.0,0.0,547566278.0485513,0.0,1561600000.0,2403426.1699154526,107334431674.6548,0.0064524840460951,s982_p889,inf,inf,inf,inf,False,False,False,False
0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,2,2,0,5,5,1,1,9,7,3,2,10,4,7,7,7,170810747.63717142,685029108.4936267,0.0121091455028453,0.0,707852953.7978439,0.0,0.0,3295420865.420081,0.0,0.0,1689118112.2929032,0.0,0.0,7315198546.594709,0.0,897500000.0,170810747.63717142,13692619586.599163,0.0121091455028453,s541_p231,,,,,False,False,False,False
1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,3,7,7,8,10,9,10,5,8,7,0,2,0,2,3,3,0.0,21163320344.37408,0.0,0.0,97998156021.85265,0.0,0.0,4371257604.477823,0.0,110684.725411009,20384338.443195168,1.107923064309262e-05,0.0,396303009.5967358,0.0,1164700000.0,110684.725411009,123949421318.74448,1.107923064309262e-05,s248_p396,0.0,0.0,0.0,0.0,False,False,False,False
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,4,0,7,8,1,1,4,2,5,3,0,0,6,3008339949.5392995,605854676.0320671,1.4801468088431755,22829510.151420794,5789267211.501755,0.0153220220729234,566194833.3191677,205481553.13680324,0.6845901029906936,0.0,269520322.9805584,0.0,0.0,328184814.6092675,0.0,151900000.0,3597364293.009888,7198308578.260451,2.1800589339067926,s541_p762,3008339974.3403063,46.16028757175722,3008339974.3403063,46.16028757175722,False,False,False,False
0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,6,3,1,0,2,1,2,3,2,2,10,3,7,1774336447.7335591,840630197.4078518,1.1159029283045383,0.0,260548956.6844023,0.0,0.0,157704162.83680218,0.0,0.0,116335290.91674028,0.0,0.0,6555171103.82443,0.0,748700000.0,1774336447.7335591,7930389711.670227,1.1159029283045383,s248_p693,,,,,False,False,False,False
