,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR Total Costs,Total_Expected_Annual_Damage,Total_Dike_Investment_Costs,Total_Expected_Number_of_Deaths
8153,59,36.81557748936229,10.0,0.2954481464201213,280.7840340765069,1.5,0.7201196181927191,48.59534009344867,1.5,0.0345602361208316,195.50442686953056,1.5,0.0566324971382545,122.64273317394918,1.0,0.4522262330758513,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8153,Base Case,dikesnet,3662431295.163723,0,1.8019475741860744,12160078.309628602,0,0.008929384783656,2542922214.2442427,0,3.156687956269625,47504282.27166937,0,0.0148116358248248,0.0,0,0.0,0.0,6265017869.989264,0,4.98237655106418
9432,25,151.44657170938024,1.5,0.2932646910344822,169.5866515951775,10.0,0.0843907794123505,258.4045387962458,10.0,0.0067895051838123,73.02203466267193,10.0,0.3891483230299052,129.31423867464127,1.0,0.5403771640404738,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9432,Base Case,dikesnet,3371276891.844474,0,1.7942014639368389,345223966.4822456,0,0.2334583728978529,2224006480.721655,0,2.898070556688819,0.0,0,0.0,0.0,0,0.0,0.0,5940507339.048374,0,4.925730393523511
9137,53,31.01490671856476,1.5,0.2900548184011924,138.68852787504952,1.0,0.7256939264198702,298.7017804746199,1.0,0.1077046898974704,249.7908051818972,1.5,0.1411460186811381,79.17997724666665,1.0,0.4526525429183163,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9137,Base Case,dikesnet,3354205735.9019527,0,1.782805667755332,11240951.247622663,0,0.0089430727903506,2355955270.0566525,0,3.1715387195688383,0.0,0,0.0,0.0,0,0.0,0.0,5721401957.206228,0,4.963287460114521
2160,99,65.67594725854605,1.5,0.3369482696555109,177.50081386823484,10.0,0.1189739919737922,127.04755946793306,1.5,0.0636465598549487,306.91115608179365,10.0,0.8679434980975299,104.57721734372424,10.0,0.9387476499971328,1.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160,Base Case,dikesnet,2989533843.345661,0,1.7649508733294126,588302059.4173859,0,0.4537518604645764,2090749223.653452,0,3.0837982389890293,0.0,0,0.0,0.0,0,0.0,0.0,5668585126.416499,0,5.302500972783019
4336,71,48.55118259714082,1.0,0.3282867486619185,34.69354739814956,1.5,0.6887019725384453,212.95026098294107,1.0,0.0563172834186838,193.2546819689712,10.0,0.7678375156372815,66.965324263725,1.0,0.604007033729147,1.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4336,Base Case,dikesnet,3185987238.1267004,0,1.7980557617154411,10506105.283486355,0,0.0087844099074619,2224698622.806291,0,3.175467651963697,0.0,0,0.0,0.0,0,0.0,0.0,5421191966.216478,0,4.9823078235866
9492,93,30.158332294256223,1.0,0.3269465066365837,44.03516481004724,1.0,0.4495288892944599,42.27976452904542,1.5,0.0883602161085967,257.61077769194617,1.5,0.8923649760893665,295.6314739602201,1.0,0.2115612650716724,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9492,Base Case,dikesnet,3078613846.953685,0,1.7839616301862598,68970492.00886467,0,0.05707398827969,2171243096.1963453,0,3.193198746460837,0.0,0,0.0,98153147.13762796,0,0.0766734386612084,0.0,5416980582.296523,0,5.110907803587995
2033,74,105.9166328776651,10.0,0.3025623394104871,264.53597790849875,10.0,0.6189890963220543,222.91314478684893,1.5,0.03460582000607,65.63679234054774,1.5,0.8346438191399523,70.76156972907057,1.0,0.6819807917295502,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033,Base Case,dikesnet,3203496274.7295046,0,1.8104458702246524,0.0,0,0.0,2147838645.514508,0,3.0067933392179067,0.0,0,0.0,0.0,0,0.0,0.0,5351334920.244013,0,4.817239209442559
5943,54,246.5006224644628,1.5,0.2750933819124389,188.4048957114373,10.0,0.4756561391007738,220.8023485302853,1.5,0.0391651055897816,191.2962096615553,10.0,0.3284449996006336,319.7273503526547,10.0,0.7528679869913733,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5943,Base Case,dikesnet,3133884014.538967,0,1.7611946078776857,0.0,0,0.0,2096077634.2464485,0,2.893478411008624,0.0,0,0.0,0.0,0,0.0,0.0,5229961648.785416,0,4.65467301888631
3770,81,233.47302843202252,1.5,0.3067293335451341,240.2956122467013,1.0,0.3087620492474184,290.0825920791376,10.0,0.038840859840491,114.4783327658598,1.0,0.5553403767048627,268.4021559099008,10.0,0.2187749274832267,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3770,Base Case,dikesnet,3121949184.6551213,0,1.8155009170581708,0.0,0,0.0,2043749042.721384,0,2.905998720429312,0.0,0,0.0,0.0,0,0.0,0.0,5165698227.376505,0,4.721499637487483
9309,5,123.79496409769756,10.0,0.3057665316045427,71.02716759318511,1.5,0.1004281420140416,34.01865087421955,10.0,0.0428062389101747,338.90084881617884,10.0,0.6769958062038223,244.1179625098716,1.5,0.8897733326518076,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9309,Base Case,dikesnet,2877765615.519295,0,1.7754489719828443,315199729.6546076,0,0.254612648198119,1936865555.6695664,0,2.95190195535414,0.0,0,0.0,0.0,0,0.0,0.0,5129830900.84347,0,4.981963575535104
9434,23,227.47201520152143,10.0,0.3500980274191708,53.43607434299294,10.0,0.1006454135109203,106.75038615173958,1.5,0.0796559357121893,345.8462952011787,1.5,0.5414680266072484,240.544633017901,1.5,0.9361543007809316,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9434,Base Case,dikesnet,2381806552.0878367,0,1.395578134907108,590816258.6473584,0,0.4395872444298346,2110179012.635002,0,3.055320303280073,0.0,0,0.0,0.0,0,0.0,0.0,5082801823.370197,0,4.890485682617015
9591,33,297.259492988403,1.0,0.2787999166550138,52.6787586450812,10.0,0.8057166162348569,69.34944381084749,1.5,0.0318021721720404,340.848614115076,10.0,0.1238569619131899,306.41760050995526,1.0,0.2484421918002989,1.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9591,Base Case,dikesnet,3069832393.488634,0,1.8118695439816004,0.0,0,0.0,2002717566.0195355,0,2.882882290560776,0.0,0,0.0,0.0,0,0.0,0.0,5072549959.508169,0,4.694751834542377
4641,65,117.12379380385008,1.5,0.3241820406728889,311.2733632329755,10.0,0.1028292998352731,263.5550866864908,1.5,0.0410085455863852,42.53199922010535,1.0,0.7963814805581042,306.3817968337718,1.5,0.1774435886934903,4.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4641,Base Case,dikesnet,2758574640.9468746,0,1.7870806335557177,326307271.8744881,0,0.2729179484294964,1854462319.8055267,0,2.9706055637280016,0.0,0,0.0,0.0,0,0.0,0.0,4939344232.626889,0,5.030604145713216
6879,80,52.29686099259361,1.5,0.3811392301185087,94.94068975935625,1.5,0.1411637911755965,281.113667403142,1.5,0.1135825601801999,259.5706096180095,1.5,0.9178566027850648,308.7135819248298,1.0,0.8432108430977452,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6879,Base Case,dikesnet,1784789784.1269407,0,0.8946112758096436,598105683.0774635,0,0.3908442275366034,2540373103.837041,0,3.1505942357341388,0.0,0,0.0,0.0,0,0.0,0.0,4923268571.041445,0,4.436049739080386
2158,110,81.90919518451362,10.0,0.3376949374444504,246.53156530676085,1.5,0.5028474016164812,211.0254894069536,10.0,0.1427785289020072,90.37918673338048,10.0,0.3799940322586739,39.881828400372285,1.5,0.8463978546695169,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2158,Base Case,dikesnet,2854745882.928231,0,1.7700097758851912,20642284.488274843,0,0.0181254227580189,1995661485.750429,0,3.092846117255344,0.0,0,0.0,0.0,0,0.0,0.0,4871049653.166935,0,4.880981315898554
6382,85,153.02850961780337,1.5,0.3351616413513313,103.02735302212402,10.0,0.7071685233788109,136.23772101163715,1.5,0.1223986668458311,210.95748304888065,1.5,0.1632586601768905,231.3571539909019,1.0,0.5473573498527806,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6382,Base Case,dikesnet,2763916503.100733,0,1.6024918910606112,0.0,0,0.0,2092395209.0143712,0,3.015345790131974,0.0,0,0.0,0.0,0,0.0,0.0,4856311712.115104,0,4.617837681192585
8139,97,168.91135285198484,1.5,0.3244163387649617,335.1198027492993,1.5,0.8780846661460088,166.74709636689326,1.0,0.0756107770382944,189.28657733714263,1.5,0.426536852365172,195.8948475675477,1.5,0.6647827874991559,3.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8139,Base Case,dikesnet,2899799516.706161,0,1.7925348732628992,0.0,0,0.0,1937559642.7545524,0,2.9535646732239327,0.0,0,0.0,0.0,0,0.0,0.0,4837359159.460713,0,4.746099546486832
2707,131,68.95021081425728,1.0,0.3488918467787286,333.605030377874,1.5,0.8370282679516918,140.92555008063863,1.5,0.1039927520270374,44.146861593876366,10.0,0.4713134066282309,256.7195872299444,1.0,0.5204472912698765,4.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,Base Case,dikesnet,2678079493.1615543,0,1.588417216742246,0.0,0,0.0,2135456696.956593,0,3.1865471869473803,0.0,0,0.0,0.0,0,0.0,0.0,4813536190.118147,0,4.774964403689626
8088,19,40.59718826018712,10.0,0.3024145812317582,228.39652659586508,1.5,0.3445731332332057,126.14413064406943,1.0,0.1335523739876591,222.69452187236504,10.0,0.8354762078721885,257.15043332697644,1.5,0.7510519823733639,2.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8088,Base Case,dikesnet,2895832205.2390046,0,1.7894583146075609,100047181.7983096,0,0.0866279354905158,1808712330.1866632,0,2.8209465274655017,0.0,0,0.0,0.0,0,0.0,0.0,4804591717.223978,0,4.697032777563578
2100,11,324.9612090547646,1.0,0.2714196862967049,154.58251412651538,1.0,0.693498055809633,125.14130968863108,1.0,0.0271035621097977,123.21143086547698,10.0,0.3672584340282853,103.93395482566098,1.0,0.5399890637801079,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,Base Case,dikesnet,2888669375.5803347,0,1.7839032902649992,0.0,0,0.0,1906962598.666172,0,2.880268032112065,0.0,0,0.0,0.0,0,0.0,0.0,4795631974.246506,0,4.664171322377064
4182,48,349.44312240385085,10.0,0.3147437447031514,335.92552668635983,1.0,0.6696883253807586,30.17453060728485,1.0,0.052125319712596,224.64074505779456,1.5,0.6921113696160899,123.5953318180994,1.0,0.3701090669602707,2.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4182,Base Case,dikesnet,2847859007.5706725,0,1.752261562115758,0.0,0,0.0,1928337265.340062,0,2.931472039517373,0.0,0,0.0,0.0,0,0.0,0.0,4776196272.910734,0,4.683733601633131
1983,123,144.34013036839033,10.0,0.3417320482575265,47.68684671103176,1.0,0.098838407634934,219.55085279631663,1.0,0.0234374696350584,247.59529651390653,1.0,0.8011615541006835,209.16429220050443,10.0,0.664446120691153,3.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983,Base Case,dikesnet,2589958016.312437,0,1.7779724395531966,395647519.2852876,0,0.3461862991535082,1782270708.2396088,0,3.0349696478462325,0.0,0,0.0,0.0,0,0.0,0.0,4767876243.837334,0,5.159128386552937
417,78,50.89708599568417,1.5,0.3541060161823823,241.5090788296726,1.0,0.5761545766081764,85.9193538792449,1.0,0.0546635110648715,339.0014919807448,1.0,0.8000782450886613,130.9081627625253,1.0,0.0699700716535739,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,Base Case,dikesnet,2439301473.1224217,0,1.388375904589671,23009437.364944763,0,0.0187440309577955,2226970499.4255896,0,3.1803050366639907,0.0,0,0.0,53348538.91114042,0,0.0391328475746095,0.0,4742629948.824097,0,4.626557819786067
