0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths,Policy Name,Urban Damages Ratio,Urban Deaths Ratio,Urban Damages Ratio Exceeded,Urban Deaths Ratio Exceeded
1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,2,4,6,5,2,3,2,2,2,0,7,1,4,1,1,4,257135244.9437814,0.0578854094560069,106086823.8555479,273648249.84008336,0.0299832902591368,277032418.14852864,5270373412.082578,597136693.857918,0.0963984627910923,s4842_p0,0.8888810556166536,0.911515569553908,False,False
1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,4,3,7,1,3,7,6,6,2,6,5,9,3,2,2,2,0.0,0.0,1231129441.20004,35297902.85002115,0.0030039850532344,253503999.95102823,10617323882.807846,70282036.14459035,0.0067241194199307,s4842_p1,0.5022322173108819,0.4467477249631238,False,False
1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,2,6,9,3,6,2,2,6,0,3,1,7,5,6,5,1,0.0,0.0,414154069.40853775,0.0,0.0,1152152957.083101,12861777355.71141,0.0,0.0,s4842_p3,,,False,False
1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,4,6,1,4,4,7,7,3,5,2,5,7,1,7,3,1,27952090.17794625,0.0054812451182924,490728677.415031,0.0,0.0,987768869.5604776,12226549468.603844,33311871.586057518,0.0060668789301604,s4842_p4,0.8391029638108184,0.9034703315148377,False,False
0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,4,5,4,4,4,4,2,9,6,1,9,1,2,0,4,0,0.0,0.0,2151925396.106982,35838560.49287292,0.0036127842636799,140758998.50395507,6397619129.127193,41141621.60911216,0.0041860724569915,s4842_p5,0.8711022825832248,0.8630486693191121,False,False
1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,2,6,5,4,4,5,4,5,7,6,4,4,10,0,0,0,0.0,0.0,2670151799.853898,130415726.59232923,0.0137245591268341,0.0,11922818283.97515,135718787.70856845,0.0144411693684736,s4842_p6,0.9609261090098551,0.9503772704720209,False,False
1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,2,4,0,2,2,0,6,2,1,3,7,1,4,6,1,5,103801285.06858724,0.0242156139181306,196003541.019055,0.0,0.0,1128008230.9213405,3261624101.324206,214423649.2286619,0.0367261002272852,s4842_p9,0.4840943871722531,0.6593570721712486,False,False
0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,3,5,1,1,5,5,4,5,6,0,1,3,9,5,2,5,26970128.68512179,0.0055680636969145,685189455.4983234,17726093.075712204,0.0018938963178192,1049832520.6689467,6348126482.000147,50226701.2896819,0.0080733569628883,s4842_p11,0.8898896525783979,0.9242697986766747,False,False
0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,2,2,10,3,4,0,2,7,4,1,1,5,4,6,2,2,0.0,0.0,855442553.5036638,0.0,0.0,710665051.0777925,8786363553.993086,26810254.738408595,0.0031801302216632,s4842_p13,0.0,0.0,False,False
1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,6,3,5,4,3,6,0,3,1,7,5,6,7,3,0.0,0.0,414154069.40853775,0.0,0.0,2495556043.067637,6678115900.1406,2247952.7425071555,0.0005244911092108,s4842_p14,0.0,0.0,False,False
1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,3,5,4,0,7,2,2,8,2,3,1,4,5,5,5,0,0.0,0.0,1039320512.8521942,0.0,0.0,715502877.4412677,4836736008.7718525,0.0,0.0,s4842_p15,,,False,False
1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,3,4,1,5,1,4,0,7,8,6,4,0,6,0,3,1,0.0,0.0,4843861490.096794,0.0,0.0,151711207.5920318,7065735652.602622,115226751.03812411,0.0115609724286926,s4842_p16,0.0,0.0,False,False
1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,2,1,8,3,2,7,3,4,0,0,1,4,6,1,2,1,170986472.40847948,0.0332217195636853,101917030.2433976,186709681.53770688,0.0217560122725518,166207917.18189317,5572038422.344923,451778260.5207729,0.0671887542869204,s4842_p17,0.791751585244194,0.8182579424149197,False,False
1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,6,5,5,4,9,1,9,3,7,4,0,5,4,0,0,0.0,0.0,3628166830.9541454,9537721.535354,0.0023265425264897,140758998.50395507,13706892043.16124,14869142.79752925,0.004064925534259,s4842_p18,0.6414439396559461,0.5723456695286813,False,False
