,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths,scenario
s632_p803,2.752956366908399e+16,0.001153434710942302,0.0,17851441411087.97,2.2212321370213622e-07,43949.859517052726,1563144.688206571,5.3729867896670856e+16,0.0014210235265857444,2
s632_p208,14196625187119.783,5.853093809638517e-05,70.33050378737859,0.0,0.0,0.0,38023.484804469175,66558399396548.555,0.00011332210905862045,2
s632_p1112,8995255925758.213,3.366398230659406e-05,1250.3836319241468,41182252093985.66,3.884449706416844e-05,0.0,84327.5434280233,894903254102027.0,0.00036530569928352357,2
s632_p99,2787912013089.799,1.4177508384632509e-07,238.41688170904118,27739911183.077507,2.8114579955637126e-10,0.0,70414.04253438304,534259964835091.6,3.2885937143040764e-06,2
s632_p373,1284232062434450.0,7.93505814486205e-05,336.97878140394226,1.709593762064068e+16,0.00032561461090375906,34.796485099076236,172268.88712969184,3.487054473042596e+16,0.0006744149007011068,2
s632_p22,266327701.35458076,1.7244338174413792e-10,406.74075906518334,7380557684.296767,7.226390679065966e-10,1501.0511423366306,32207.94701953973,967958075184245.0,9.826998847803939e-05,2
s632_p980,765161334348303.1,0.0023896735223116355,154.9224393360618,8062867664167154.0,0.0068248379390585204,0.0,13695.022126811635,2.9495131684174724e+16,0.029258166139936304,2
s632_p218,42665605637445.55,3.7715646771635046e-06,0.0,62684183712574.664,1.1323801958237707e-06,735.1974238703036,58917.193387253465,3037453389504494.5,6.21226283365229e-05,2
s632_p977,2.138596960548034e+16,0.0622896723952238,832.6695861434763,3.5623927514496412e+16,0.029405129745554252,0.27326252937536305,224807.76756351293,1.0002980032708266e+17,0.14889594985385682,2
s632_p1048,1.1852384744850362e+16,0.03099101384563502,1.003623516664296,14925113915.689373,1.0909904026188772e-08,2918.126640237598,97515.28194747942,1.3918645448695198e+16,0.03374686996906667,2
s632_p903,6513385222289.844,3.0062253387241343e-06,47.90535990288012,1978720357869.2886,2.0361069595827663e-07,44468.981570106924,253021.47754558187,257112741550178.66,2.329041471932208e-05,2
s632_p144,7322811909310558.0,0.00028530114375814375,0.0,775534840679593.0,9.54271274220206e-06,1107.921956567076,66081.6934497913,1.188466060617286e+16,0.00036656193689330843,2
